ManufacturerId is 0x35393738333300
DAL version is 1.2.0.6
DAL device is activated
Instance state changed, now Starting
Instance state changed, now Running

Socket Descriptor validation: ProtocolArcp config=30440 actual=30440
677137.191360800: control=0 audio=1447 late=0 nonSeq=0
ProtocolArcpLocal config=30441 actual=30441
ProtocolDbcp config=30455 actual=30455
ProtocolCmcp config=34800 actual=34800
ProtocolConmonChannels config=34700 actual=34700
ProtocolConmonClient config=34900 actual=34900
ProtocolDomainClientProxy config=34001 actual=34001
ProtocolAudioBase config=30336 actual=30336
ProtocolWebSocket config=0 actual=60489
ProtocolMdnsClient config=34002 actual=34002
677248.7323700: control=23538 audio=1368 late=0 nonSeq=0
677249.2870300: control=23598 audio=1196 late=0 nonSeq=0
677250.8867800: control=25529 audio=1595 late=0 nonSeq=0
677251.6868100: control=24026 audio=1082 late=0 nonSeq=0
677252.4343400: control=23669 audio=1336 late=0 nonSeq=0
677253.5112900: control=25881 audio=1328 late=0 nonSeq=0
677254.5920200: control=25368 audio=1352 late=0 nonSeq=0
677255.13429400: control=24500 audio=1160 late=0 nonSeq=0
677256.1928100: control=23994 audio=1322 late=0 nonSeq=0
677257.7371100: control=20653 audio=1143 late=0 nonSeq=0
677258.7920700: control=21006 audio=1587 late=0 nonSeq=0
677259.12356200: control=23606 audio=1297 late=0 nonSeq=0
677260.9822500: control=23739 audio=1084 late=0 nonSeq=0
677261.11350400: control=23822 audio=1185 late=0 nonSeq=0
677262.14847500: control=23805 audio=1234 late=0 nonSeq=0
677263.9350200: control=24125 audio=1537 late=0 nonSeq=0
677264.15037000: control=23772 audio=1236 late=0 nonSeq=0
677265.8849700: control=23551 audio=1865 late=0 nonSeq=0
677266.10112800: control=23886 audio=1620 late=0 nonSeq=0
677267.15888200: control=23426 audio=1204 late=0 nonSeq=0
677268.19336300: control=26829 audio=1792 late=0 nonSeq=0
677269.19312200: control=21269 audio=1906 late=0 nonSeq=0
677270.13382900: control=23424 audio=1653 late=0 nonSeq=0
677271.15353300: control=23854 audio=1356 late=0 nonSeq=0
677272.18866700: control=24868 audio=1752 late=0 nonSeq=0
677273.11449800: control=23458 audio=1494 late=0 nonSeq=0
